"","soi_ordered_quantity","soi_line_net_sales_functional","soi_line_total_cost_functional","soi_line_prime_cost_corp","soi_ucortp","soi_lob_l2_key","soi_code_desc","soi_location_code","soi_totaldiscountlocal","soi_totaldiscountcorp","itm_item_key","itm_organization_id","cust_customer_id","cust_customer_number","cust_customer_key","cust_dsn","cust_bmsreceivabletypecode","eng_em_key"
"809",7,725.06,486.64,486.64,31,29,8,4,321.16,321.16,47,3,2041,2028,2041,3,17,-1
"810",2,2820,2361.68,2361.68,26,34,7,1,0,0,3078,4,2827,2814,2828,4,17,-1
"811",1,68,40.8,40.8,1,27,2,3,34.68,34.68,662,1,2563,2551,2564,1,17,-1
"812",1,10500,8200,8200,30,34,7,806,0,0,2781,4,655,641,655,4,2,-1
"813",1,2482,1699,1699,31,29,5,3,1221,1221,469,3,2718,2706,2719,3,17,-1
"814",1,0,9,9,43,30,7,1,0,0,654,4,252,238,252,4,17,-1
"815",1,61.2,41.4,41.4,41,30,7,1,0,0,665,4,650,636,650,4,17,-1
"816",1,10104,7275,7275,7,30,7,1,0,0,197,4,1314,1300,1314,4,17,-1
"817",1,3743.01,3481,3481,21,29,1,80,-3481,-3481,1765,3,2444,2432,2445,3,17,-1
"818",1,3450,3105,3105,1,15,7,3,3250,3250,1229,1,2709,2697,2710,1,17,-1
"819",1,40,30,30,41,30,7,1,0,0,764,4,691,677,691,4,17,-1
"820",1,3529,3342,3342,1,28,1,26,-3342,-3342,1694,2,3044,3031,3045,2,8,-1
"821",1,3450,3105,3105,1,15,7,3,3250,3250,1229,1,2709,2697,2710,1,17,-1
"822",1,145995,127015.65,127015.65,29,29,7,80,0,0,881,3,2142,2129,2143,3,3,-1
"823",-1,-13917,-12525.3,-12525.3,2,29,1,80,12525.3,12525.3,1944,3,2152,2139,2153,3,4,-1
"824",1,0,0,0,30,34,7,1,0,0,2560,4,296,282,296,4,2,-1
"825",1,61.2,40.8,40.8,41,30,2,100,0,0,768,4,509,495,509,4,17,-1
"826",1,3900,2703,2703,1,27,4,3,1942,1942,1508,1,2710,2698,2711,1,17,-1
"827",-1,-12078,0,0,24,4,7,90,0,0,2860,3,1174,1160,1174,3,5,319908273
"828",1,0,0,0,1,30,6,806,0,0,954,4,24,10,24,4,10,-1
"829",50,131.66,98.6,98.6,23,30,1,100,0,0,730,4,2807,2794,2808,4,17,-1
"830",1,23438,20390,20390,29,33,3,80,0,0,2714,3,1896,1884,1896,3,3,-1
"831",1,82275,69933.75,69933.75,29,29,7,80,0,0,881,3,1507,1493,1507,3,17,-1
"832",1,0,0,0,31,29,8,80,0,0,828,3,2041,2028,2041,3,17,-1
"833",1,0,0,0,30,34,7,806,0,0,3078,4,120,106,120,4,17,-1
"834",-1,-10716.58,0,0,2,29,4,4,-10716.58,-10716.58,1570,3,1114,1100,1114,3,17,-1
"835",1,513.18,477,477,1,28,1,26,-477,-477,2956,2,3035,3022,3036,2,8,-1
"836",1,3171.19,2100.96,2100.96,29,33,3,80,0,0,2137,3,2165,2152,2166,3,17,-1
"837",1,2870,1452.96,1452.96,26,34,7,806,0,0,3078,4,36,22,36,4,17,-1
"838",1,2952,2628,2628,30,34,7,806,0,0,3078,4,296,282,296,4,2,-1
"839",1,0,0,0,30,34,7,806,0,0,3078,4,582,568,582,4,17,-1
"840",1,15900,0,0,45,30,7,1,0,0,1784,4,1766,1752,1766,4,6,-1
"841",1,3529,3342,3342,1,28,1,26,-3342,-3342,1694,2,3044,3031,3045,2,8,-1
"842",1,126,106.8,106.8,15,30,7,100,0,0,746,4,509,495,509,4,17,-1
"843",1,656,557,557,19,30,2,806,0,0,2879,4,1921,1910,1921,4,17,-1
"844",1,1801.02,1801.02,1801.02,26,34,7,806,0,0,3043,4,2827,2814,2828,4,17,-1
"845",1,0,0,0,27,34,7,806,0,0,2533,4,781,767,781,4,17,-1
"846",1,0,0,0,45,30,7,1,0,0,1557,4,712,698,712,4,17,-1
"847",1,1000,0,0,11,34,7,806,0,0,210,4,324,310,324,4,17,-1
"848",-1,-4305.59,-3574,-3574,29,33,3,80,0,0,2668,3,2232,2220,2233,3,17,-1
"849",1,296.52,278,278,1,28,1,26,-278,-278,1549,2,3035,3022,3036,2,8,-1
"850",4,90.56,54.56,54.56,31,29,4,80,36,36,59,3,1580,1566,1580,3,17,-1
"851",2,89.86,81.7,81.7,23,30,8,100,0,0,350,4,2807,2794,2808,4,17,-1
"852",1,530,477,477,15,30,2,806,0,0,2961,4,650,636,650,4,17,-1
"853",1,1550.97,1442,1442,1,27,1,3,1226.9,1226.9,1431,1,1872,1860,1872,1,4,-1
"854",1,6300,5200,5200,29,33,3,80,0,0,2972,3,2420,2408,2421,3,17,-1
"855",2,58,45.6,45.6,7,30,2,100,0,0,1345,4,665,651,665,4,17,-1
"856",1,3590,3134,3134,43,30,7,1,0,0,1128,4,614,600,614,4,17,-1
"857",1,0,0,0,31,29,4,80,0,0,1120,3,933,919,933,3,17,-1
"858",1,8880,7419,7419,1,15,1,3,4946,4946,239,1,2977,2963,2978,1,4,-1
"859",1,2394,2154.6,2154.6,26,34,7,806,0,0,3078,4,403,389,403,4,17,-1
"860",10,297,198,198,31,29,1,4,132,132,759,3,2041,2028,2041,3,17,-1
"861",1,89.1,59.4,59.4,31,29,1,80,39.6,39.6,771,3,2041,2028,2041,3,17,-1
"862",1,104478.6,94030.74,94030.74,36,34,2,806,0,0,2535,4,1001,987,1001,4,9,-1
"863",1,0,0,0,26,34,7,806,0,0,2560,4,980,966,980,4,17,-1
"864",1,3450,3105,3105,1,15,7,3,3250,3250,1229,1,2709,2697,2710,1,17,-1
"865",1,4021.8,3039.95,3039.95,22,34,7,806,0,0,3078,4,284,270,284,4,2,-1
"866",1,3450,3105,3105,1,15,7,3,3250,3250,1229,1,2709,2697,2710,1,17,-1
